"","Reference.area","Source","Sex","Time","Total","Agriculture","Non.agriculture","X"
"931","Haiti","HIES - Enquête sur les Conditions de Vie des Ménages Après le Séisme","Total",2012,91.6,99,88.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"934","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2011,81.9,98,73.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"937","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2012,83.7,98.2,75.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"940","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2013,82.7,98,74.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"943","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2014,79,98.6,71.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"946","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2015,80.9,97.9,74,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"949","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2016,79.8,97.9,73,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"952","Honduras","HS - Encuesta Permanente de Hogares de Propósitos Múltiples","Total",2017,82.6,97.6,75.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: Second quarter"
"955","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2011,12.6,39.3,10.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"958","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2012,12.5,36.9,10.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"961","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2013,12.9,38.8,11.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"964","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2014,3.8,29,2.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"967","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2015,4.4,10.2,4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"970","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2016,4.8,17.7,3.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"973","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2017,14.4,41.5,12.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"976","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2018,6.3,22.3,5.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"979","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2019,10.4,40.1,8.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"982","Hungary","HIES - EU Statistics on Income and Living Conditions","Total",2020,10.2,37.7,8.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"985","Iceland","HIES - EU Statistics on Income and Living Conditions","Total",2011,3.9,7.1,3.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"988","Iceland","HIES - EU Statistics on Income and Living Conditions","Total",2012,4.9,6.4,4.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"991","Iceland","HIES - EU Statistics on Income and Living Conditions","Total",2014,3.3,NA,3.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"994","Iceland","HIES - EU Statistics on Income and Living Conditions","Total",2017,1.7,NA,1.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"997","Iceland","HIES - EU Statistics on Income and Living Conditions","Total",2018,1.4,NA,1.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1000","India","HS - National Sample Survey","Total",2012,87.2,99.5,76.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1003","India","LFS - Periodic Labour Force Survey","Total",2018,88.6,99.4,81,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1007","India","LFS - Periodic Labour Force Survey","Total",2019,88.9,99.6,81.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1011","India","LFS - Periodic Labour Force Survey","Total",2020,90.3,99.5,82.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1015","India","LFS - Periodic Labour Force Survey","Total",2021,89.1,99.1,81.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1019","Indonesia","LFS - National Labour Force Survey","Total",2016,84.3,96.9,78.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1022","Indonesia","LFS - National Labour Force Survey","Total",2017,84.2,97.1,78.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1025","Indonesia","LFS - National Labour Force Survey","Total",2018,82.4,96.3,76.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1028","Indonesia","LFS - National Labour Force Survey","Total",2019,80.1,94.6,74.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1031","Indonesia","LFS - National Labour Force Survey","Total",2022,80.2,94,74.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1034","Iraq","LFS - Labour Force Survey","Total",2021,67,98.1,64.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1037","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2011,8.7,42.3,7.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1040","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2012,5.1,7,5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1043","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2013,6.7,36.3,5.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1046","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2014,8.1,33,6.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1049","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2015,5.9,22.3,5.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1052","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2016,5.3,18.5,4.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1055","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2017,5.2,25.8,4.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1058","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2018,5.7,18.3,5.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1061","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2019,4,16.7,3.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1064","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2020,3,4.4,3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1067","Ireland","HIES - EU Statistics on Income and Living Conditions","Total",2021,2.1,3.7,2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1070","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2011,6,10.5,5.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1073","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2012,5.9,9.2,5.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1076","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2013,5,8.8,4.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1079","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2014,6.3,12.1,6.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1082","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2015,7,9.9,6.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1085","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2016,11.3,20.1,10.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1088","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2017,10.3,22.2,9.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1091","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2018,12,21.7,11.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1094","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2019,12.8,25.1,12.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1097","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2020,10.9,19.5,10.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1100","Italy","HIES - EU Statistics on Income and Living Conditions","Total",2021,11.2,19.9,10.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - minimum age: 16 years old"
"1103","Jamaica","LFS - Labour Force Survey","Total",2016,57.6,95.7,50,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"1106","Jamaica","LFS - Labour Force Survey","Total",2017,57.7,95.8,50,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
